Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
K1017	L66L-140	Columbus	( L66L-140 ( Wayne , L57-0034 ( Clark , Adams ) ) , Columbus )	-	-
K1022	Williams	Columbus	( Williams , Columbus )	-	-
K1028	Williams	Calland	( Williams , Calland )	-	-
K10282	Pioneer_P90A07	Pioneer_P90B72	( Pioneer_P90A07 , Pioneer_P90B72 )	-	-
K10292	XB16H	K10147	( XB16H ( Syngenta_S19-90 , MO30732-51 ) ( Syngenta_S19-90 , MO30732-51 ) , K10147 ( XB16H ( Syngenta_S19-90 , MO30732-51 ) , Pioneer_P91B52 ) )	-	-
K1034	Williams	Calland	( Williams , Calland )	-	-
K1035	Williams	Calland	( Williams , Calland )	-	-
K1036	Williams	Calland	( Williams , Calland )	-	-
K1042	L66L-140	Cutler_71	( L66L-140 ( Wayne , L57-0034 ( Clark , Adams ) ) , Cutler_71 )	-	-
K1043	Tracy	Williams	( Tracy , Williams )	-	-
K1044	Tracy	Williams	( Tracy , Williams )	-	-
K1045	Tracy	Williams	( Tracy , Williams )	-	-
K1046	Tracy	Williams	( Tracy , Williams )	-	-
K10467	XB16H	K10292	( XB16H ( Syngenta_S19-90 , MO30732-51 ) ( Syngenta_S19-90 , MO30732-51 ) ( Syngenta_S19-90 , MO30732-51 ) , K10292 ( XB16H ( Syngenta_S19-90 , MO30732-51 ) ( Syngenta_S19-90 , MO30732-51 ) , K10147 ( XB16H ( Syngenta_S19-90 , MO30732-51 ) , Pioneer_P91B52 ) ) )	-	-
K1047	Tracy	Bonus	( Tracy , Bonus )	-	-
K1058	Tracy	Bonus	( Tracy , Bonus )	-	-
K1061	Tracy	Columbus	( Tracy , Columbus )	-	-
K1062	Tracy	Williams	( Tracy , Williams )	-	-
K1074	Tracy	Williams	( Tracy , Williams )	-	-
K1075	Tracy	Bonus	( Tracy , Bonus )	-	-
K1076	Tracy	Williams	( Tracy , Williams )	-	-
K1099	K1022	Essex	( K1022 ( Williams , Columbus ) , Essex )	-	-
K11-1163	IA3023	LG04-5187	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LG04-5187 ( LG97-9384 ( LG90-2179 ( PI_437851_A , Ripley ) , Asgrow_A3322 ) , LG97-9301 ( LG89-7793 ( PI_391594 , Century ) , LG88-8958 ( PI_253665D , PI_283331 ) ) ) )	-	-
