Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
R02322	Pioneer_P90B43	12223R006	( Pioneer_P90B43 , 12223R006 ( Pioneer_P9007 , 90733 ( Pioneer_P9172 , 90676 ( ST2250 , G40-3P9392 ) ) ) )	-	-
R02416	Pioneer_P9091	Pioneer_P91B02	( Pioneer_P9091 , Pioneer_P91B02 )	-	-
R03-1011	HBK_5990	98601	( HBK_5990 , 98601 ( Asgrow_A5403 , Hutcheson ) )	-	-
R03-1134	M91-163126	OT93-28	( M91-163126 ( E86-237 , M87-135 ( Sibley , Hack ) ) , OT93-28 )	-	-
R03-1176	R96-209	Anand	( R96-209 , Anand )	-	-
R03-1187	Ozark	Anand	( Ozark , Anand )	-	-
R03-1232	Pioneer_P9592	KS4895	( Pioneer_P9592 , KS4895 )	-	-
R03-1235	Pioneer_P9592	KS4895	( Pioneer_P9592 , KS4895 )	-	-
R03-1250	Pioneer_P9592	KS4895	( Pioneer_P9592 , KS4895 )	-	-
R03-176	R95-3235	98602	( R95-3235 ( Manokin , KS4895 ) , 98602 )	-	-
R03-224	Ozark	99507	( Ozark , 99507 )	-	-
R03-263	DT96-6840	Anand	( DT96-6840 ( Hutcheson , Pioneer_P9641 ) , Anand )	-	-
R03-862	V94-1295	Ozark	( V94-1295 ( V85-5344 , C1747 ( A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) , Williams_82 ) ) , Ozark )	-	-
R03-946	TN93-99	R95-798	( TN93-99 , R95-798 ( DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) , Asgrow_A9641 ) )	-	-
R03-984	R95-3235	HyPerformer_AP_4880	( R95-3235 ( Manokin , KS4895 ) , HyPerformer_AP_4880 )	-	-
R03171RE	Pioneer_P93B82	Pioneer_P90B72	( Pioneer_P93B82 , Pioneer_P90B72 )	-	-
R03210RE	21030R017	R02416	( 21030R017 ( ST1590 , ST2250 ) , R02416 ( Pioneer_P9091 , Pioneer_P91B02 ) )	-	-
R03809	YB009A99	Pioneer_P91B12	( YB009A99 ( J009 , W10381-022 ( Pioneer_P9091 , Asgrow_A2234 ) ) , Pioneer_P91B12 )	-	-
