Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
U11-374036	U03-100612	LD02-7222P	( U03-100612 ( MSPB6S4 , Pioneer_P93B82 ) , LD02-7222P ( Macon , LS93-0375 ( Asgrow_A3935 ( M0474C ( Mitchell ( Amsoy , Wayne ) , - ) , Asgrow_A3127 ( Williams , Essex ) ) , Pioneer_P9402 ) ) )	-	-
U11-410122	LG04-6000	U03-300134	( LG04-6000 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , LG97-9912 ( LG90-4181 ( PI_436682 , Lawrence ) , Asgrow_A3322 ) ) , U03-300134 ( NE32022 , NE2802 ) )	-	-
U11-444079	U03-300134	LD00-3309	( U03-300134 ( NE32022 , NE2802 ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) )	-	-
U11-602165R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-603167R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-604181R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-605178R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-605186R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-606184R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-607166R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-607174R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-608163R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-608165R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-608172R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-609163R	U07-135478R	U08-917024R	( U07-135478R , U08-917024R )	-	-
U11-609165R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
U11-610107	LD02-4485	U03-100612	( LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) , U03-100612 ( MSPB6S4 , Pioneer_P93B82 ) )	-	-
