Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
V10-0262	R02-2363	V98-2711	( R02-2363 , V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) )	-	F4, Conv.
V10-1687	V98-2711	V02-8659	( V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) , V02-8659 )	-	-
V10-2499	V98-2711	LG00-3372	( V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) , LG00-3372 ( PI_561319 , PI_574477 ) )	-	-
V10-2508	V98-2711	LG00-3372	( V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) , LG00-3372 ( PI_561319 , PI_574477 ) )	-	-
V11-0536	R04-198	V98-2711	( R04-198 ( SS-516 ( Asgrow_A4997 , Asgrow_A5474 ) , Ozark ) , V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) )	-	-
V11-0730	V03-7833	V02-8659	( V03-7833 ( Stressland , LG92-12 ) , V02-8659 )	-	-
V11-2149	LG04-6000	V03-7833	( LG04-6000 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , LG97-9912 ( LG90-4181 ( PI_436682 , Lawrence ) , Asgrow_A3322 ) ) , V03-7833 ( Stressland , LG92-12 ) )	-	-
V11-2187	LG04-6000	V03-7833	( LG04-6000 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , LG97-9912 ( LG90-4181 ( PI_436682 , Lawrence ) , Asgrow_A3322 ) ) , V03-7833 ( Stressland , LG92-12 ) )	-	F4, Conv.
V11-2263	LG04-6000	V03-7833	( LG04-6000 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , LG97-9912 ( LG90-4181 ( PI_436682 , Lawrence ) , Asgrow_A3322 ) ) , V03-7833 ( Stressland , LG92-12 ) )	-	Conv., > 50% meal, LP, Sugars, F4, RR1
V11-3485	V98-2711	Schillinger_495	( V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) , Schillinger_495 )	-	F4, RR1
V12-1416	Allen	LG05-2887	( Allen , LG05-2887 ( Golden_Harvest_H2885 , LG00-8301 ( PI_574477 , PI_561377 ) ) )	-	Conv.
V12-3446	R01-3474F	TN02-226	( R01-3474F ( Caviness , PI_594208 ) , TN02-226 ( Fowler , Anand ) )	-	F4, Conv.
V12-4590	V03-5901	V98-9005	( V03-5901 , V98-9005 )	-	F4, Conv., > 50% meal, LP, sugars
V13-0113	V02-8659	Schillinger_495	( V02-8659 , Schillinger_495 )	-	-
V13-0116	V02-8659	Schillinger_495	( V02-8659 , Schillinger_495 )	-	F4, RR1
V13-3833	Glenn	V07-0873	( Glenn , V07-0873 )	-	-
V14-0079	Glenn	V05-2436	( Glenn , V05-2436 )	-	-
V14-0153	V07-0873	S07-6489	( V07-0873 , S07-6489 )	-	-
V14-1219	B05-8046	S04-12996	( B05-8046 ( Loda , LG93-7054 ( LG85-3343 ( PI_361064 , PI_407710 ) , Northrup_King_S42-30 ) ) , S04-12996 )	-	-
V14-1235	B05-8046	S04-12996	( B05-8046 ( Loda , LG93-7054 ( LG85-3343 ( PI_361064 , PI_407710 ) , Northrup_King_S42-30 ) ) , S04-12996 )	-	-
V14-2421	TN04-5321	V07-0873	( TN04-5321 ( Prolina , TN93-99 ) , V07-0873 )	-	-
V14-3821	Glenn	R05-235	( Glenn , R05-235 ( Pioneer_P9594 , Ozark ) )	-	-
V15-0057DI	Ozark	PI_200508	( Ozark , PI_200508 )	-	-
V15-1407DI	Glenn	G08-PR-394	( Glenn , G08-PR-394 )	-	-
V15-1815DI	Ozark	G08-PR-394	( Ozark , G08-PR-394 )	-	-
V15-1872	Ozark	NCC06-339	( Ozark , NCC06-339 ( S00-9925-10 ( K1393 ( KS5292 , Hutcheson ) , Anand ) , DT99-17400 ( UARK-5798 ( Hutcheson , Waters ) , Bolivar ) ) )	-	-
V15-2259ST	Hanover	V09-0673	( Hanover , V09-0673 )	-	-
V15-2261ST	Hanover	V09-0673	( Hanover , V09-0673 )	-	-
V16-0157	Hutcheson	LV_75	( Hutcheson , LV_75 )	-	-
V16-0248DI	R99-1613F	R05-4114	( R99-1613F ( NKRA_452 , PI_290126B ) , R05-4114 ( R98-1523 ( Asgrow_A5403 , Hartz_H5545 ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) )	-	-
V16-0262DI	R99-1613F	R05-4114	( R99-1613F ( NKRA_452 , PI_290126B ) , R05-4114 ( R98-1523 ( Asgrow_A5403 , Hartz_H5545 ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) )	-	-
V16-0293	S08-17361	JTN-4307	( S08-17361 ( LG04-5196 , S00-9925-10 ( K1393 ( KS5292 , Hutcheson ) , Anand ) ) , JTN-4307 ( S97-1688 ( S91-1381 ( Hartz_H5370 , Hartwig ) , Hartz_H5810 ) , V94-0198 ( DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) , Manokin ) ) )	-	-
V16-0709PR	S08-17361	R08-3206	( S08-17361 ( LG04-5196 , S00-9925-10 ( K1393 ( KS5292 , Hutcheson ) , Anand ) ) , R08-3206 ( R00-2267 , S00-9980-22 ) )	-	-
V16-1485ST	S09-9943	UA_5612	( S09-9943 ( S04-10364 ( - , AgriPro_AP4882 ) , LG04-5196 ) , UA_5612 ( R97-1650 ( Pioneer_P9592 , Holladay ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) )	-	-
V16-1816R2HP	V07-0873	RR2Y	( V07-0873 , RR2Y )	-	-
V16-1923R	HANOVER	V04-1022	( HANOVER , V04-1022 ( R95-798 ( DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) , Asgrow_A9641 ) , V215 ) )	-	-
V16-2451R2	JTN-5203	RR2Y	( JTN-5203 ( R93-171 , Anand ) , RR2Y )	-	-
V16-2471R	JTN-4307	V11-3098	( JTN-4307 ( S97-1688 ( S91-1381 ( Hartz_H5370 , Hartwig ) , Hartz_H5810 ) , V94-0198 ( DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) , Manokin ) ) , V11-3098 )	-	-
