Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
CL05-51227	0J173-6Mo	IA3025	( 0J173-6Mo , IA3025 )	-	-
CL0J095-4-6	CX1705R-108	Dwight	( CX1705R-108 ( CRS7C1-13-1 , Savoy ) , Dwight )	-	NAM Strain
CL0J173-6-2	Kottman	Dwight	( Kottman , Dwight )	-	-
CL0J173-6-8	Kottman	Dwight	( Kottman , Dwight )	-	NAM Strain
CL0J177-9	Kottman	IA3011	( Kottman , IA3011 )	-	-
CL575743	Syngenta_S08-80	Asgrow_A1900	( Syngenta_S08-80 , Asgrow_A1900 )	-	-
CL605723	WW214164	Syngenta_S08-80	( WW214164 , Syngenta_S08-80 )	-	-
CL800127	Syngneta_S03-W4	L924904	( Syngneta_S03-W4 , L924904 ( KG41 , Syngenta_S38-83 ) )	-	-
CL984701	X006	Syngenta_S00-Z1	( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S00-Z1 )	-	-
CLOJ173-6-2	Kottman	Dwight	( Kottman , Dwight )	-	NAM Strain
CLOJ173-6-8	Kottman	Dwight	( Kottman , Dwight )	-	NAM Strain
CM1	Crest	L48-7289	( Crest , L48-7289 ( Seneca ( FC_03654 , - ) , Richland ) )	-	-
CM119	Acme	Blackhawk	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , Blackhawk )	-	-
CM121	Acme	Blackhawk	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , Blackhawk )	-	-
CM127	Acme	Blackhawk	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , Blackhawk )	-	-
CM145	Acme	Blackhawk	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , Blackhawk )	-	-
CM147	Acme	Blackhawk	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , Blackhawk )	-	-
CM148	Acme	Blackhawk	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , Blackhawk )	-	-
CM21	Acme	L48-7289	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , L48-7289 ( Seneca ( FC_03654 , - ) , Richland ) )	-	-
CM29	Acme	L48-7289	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , L48-7289 ( Seneca ( FC_03654 , - ) , Richland ) )	-	-
CM31	Acme	Monroe	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , Monroe )	-	-
CM4022	5601T	PI_547879	( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , PI_547879 )	-	Rust resistance
CM53	Acme	L48-7289	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , L48-7289 ( Seneca ( FC_03654 , - ) , Richland ) )	-	-
CM61	Acme	L48-7289	( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , L48-7289 ( Seneca ( FC_03654 , - ) , Richland ) )	-	-
