Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
M08-359053	M02-391112	MN1701CN	( M02-391112 ( IA1008 , M96-356062 ( M92-674 ( Agassiz , Ozzie ) , M92-1708 ( Kato , Bell ) ) ) , MN1701CN )	-	-
M08-362045L	MN0606CN	U03-100612	( MN0606CN ( MN0901 , MN0902CN ) , U03-100612 ( MSPB6S4 , Pioneer_P93B82 ) )	-	-
M08-365100	M90-184111	U03-100612	( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , U03-100612 ( MSPB6S4 , Pioneer_P93B82 ) )	-	-
M08-434024	M02-333013	M02-328023	( M02-333013 ( M94-162105 ( IA2008R , M90-1278 ( BSR_101 , Kato ) ) , MN0304 ) , M02-328023 ( MN0304 , A00-712012 ( AgriPro_AP1953 , IA2038 ) ) )	-	-
M08-608106	R01-52F	MN0094SP	( R01-52F ( R93-5455 ( Jackson , PI_416937 ) , Minsoy ( PI_27890 , - ) ) , MN0094SP )	-	-
M0835	IVR_1120	Calland	( IVR_1120 , Calland )	-	-
M09-251081	PI_578425	M04-267028	( PI_578425 , M04-267028 ( Lambert , PI_291290 ) )	-	-
M09-269045	MN0908CN	LD02-4485	( MN0908CN , LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) )	-	-
M09-278026	M90-184111	E06936	( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , E06936 ( PI_494182 , Skylla ( Dairyland_DSR217 ( Dairyland_Experimental , Asgrow_A3127 ( Williams , Essex ) ) , Northrup_King_S19-90 ) ) )	-	-
M09-285032	MN1701CN	E06936	( MN1701CN , E06936 ( PI_494182 , Skylla ( Dairyland_DSR217 ( Dairyland_Experimental , Asgrow_A3127 ( Williams , Essex ) ) , Northrup_King_S19-90 ) ) )	-	-
M09-285149	MN1701CN	E06936	( MN1701CN , E06936 ( PI_494182 , Skylla ( Dairyland_DSR217 ( Dairyland_Experimental , Asgrow_A3127 ( Williams , Essex ) ) , Northrup_King_S19-90 ) ) )	-	-
M09-305144	M01-315029	OAC_05-17	( M01-315029 ( A99-216031 ( A94-773014 ( Pioneer_P9303 , A87-395012 ( Fayette , Asgrow_A3659 ( Williams , Essex ) ) ) , AgriPro_AP1995 ( AgriPro_AP1989 ( AgriPro_AP26 ( Beeson , Calland ) , Vickery ) , Asgrow_A3427 ( Asgrow_X3836 , Asgrow_A3127 ( Williams , Essex ) ) ) ) , M95-123023 ( Parker , M92-1631 ( Maple_Ridge , Lakota ) ) ) , OAC_05-17 )	-	-
M09-340060	M02-495076	MN1013	( M02-495076 ( LG98-1605 , MN0302 ) , MN1013 ( MN0302 , PI_495831 ( Amsoy , Black_Eyebrow ) ) )	-	-
M09-343025	MN1410	M03-381022	( MN1410 , M03-381022 ( MN0902CN , LG98-1445 ( LG91-7431 ( LG84-1272 ( PI_227333 , PI_91730-1 ) , Elgin ) , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) )	-	-
M09-878011	MN1410	MN1410BC2R2F2-4	( MN1410 , MN1410BC2R2F2-4 )	-	-
M09-956047	MN1410	MN1410BC2R2F3	( MN1410 , MN1410BC2R2F3 )	-	-
M10-171020	A08-151024	M04-380030	( A08-151024 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) , M04-380030 )	-	-
M10-186021	M02-385091	LD02-4485	( M02-385091 ( MN0902CN , M95-255017 ( M92-1525 ( M85-647 ( Ozzie , Fayette ) , Bell ) , A92-526007 ( A20 , Asgrow_A2234 ) ) ) , LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) )	-	-
M10-207102	M03-165068	M04-419020	( M03-165068 ( NE1900 ( MSBP1 , MSBP1 ) , MN0304 ) , M04-419020 )	-	-
M10-214107	M03-917303	MN0807SP	( M03-917303 , MN0807SP ( OT98-1 , M96-414121 ) )	-	-
M10-236-2007	MO_HI_OLEIC	-	( MO_HI_OLEIC , - )	-	-
M10-237102	MO_HI_OLEIC	MN0095	( MO_HI_OLEIC , MN0095 ( M92-270029 ( M87-227 , M87-346 ( M76-55 ( M69-20 ( Merit , Clay ) , McCall ) , Simpson ) ) , M93-313185 ( Agassiz , M90-1437 ( Dawson , HM8536 ( HW79149 , Higan ( PI_80475 , - ) ) ) ) ) )	-	-
M10-238-2025	MO_HI_OLEIC	-	( MO_HI_OLEIC , - )	-	-
M10-238-2036	MO_HI_OLEIC	-	( MO_HI_OLEIC , - )	-	-
M10-238-2077	MO_HI_OLEIC	-	( MO_HI_OLEIC , - )	-	-
M10-238-2098	MO_HI_OLEIC	-	( MO_HI_OLEIC , - )	-	-
M10-238-2100	MO_HI_OLEIC	-	( MO_HI_OLEIC , - )	-	-
M10-254090	M04-217116	MN2001SP	( M04-217116 ( M98-239080 ( MN0902CN , IA1008 ) , MN1006CN ) , MN2001SP )	-	-
M11-120121	Sheyenne	XP2410	( Sheyenne , XP2410 )	-	-
M11-131015	XY2510	Sheyenne	( XY2510 , Sheyenne )	-	-
M11-131022	XY2510	Sheyenne	( XY2510 , Sheyenne )	-	-
M11-131044	XY2510	Sheyenne	( XY2510 , Sheyenne )	-	-
M11-132044	XY2510	MN1410	( XY2510 , MN1410 )	-	-
M11-238102	LD05-16638	PI_603432_B	( LD05-16638 , PI_603432_B )	-	-
M11-241015	M03-347183	LD06-16721	( M03-347183 , LD06-16721 )	-	-
M11-244115	M01-213045	M05-350061	( M01-213045 ( OAC_98-01 ( OAC_Frontier , ND88-686 ( Evans , Bicentennial ) ) , Lambert ) , M05-350061 ( M00-111179 ( MN0902CN , MN0302 ) , M98-134022 ( Lambert , Hartwig ) ) )	-	-
M11-244139	M01-213045	M05-350061	( M01-213045 ( OAC_98-01 ( OAC_Frontier , ND88-686 ( Evans , Bicentennial ) ) , Lambert ) , M05-350061 ( M00-111179 ( MN0902CN , MN0302 ) , M98-134022 ( Lambert , Hartwig ) ) )	-	-
M11-245026	M02-385091	DEUEL	( M02-385091 ( MN0902CN , M95-255017 ( M92-1525 ( M85-647 ( Ozzie , Fayette ) , Bell ) , A92-526007 ( A20 , Asgrow_A2234 ) ) ) , DEUEL )	-	-
M11-253-4066	M03-149100	MN0071	( M03-149100 ( MN0902CN , MN0304 ) , MN0071 ( Harmony , OT92-8 ( Baron , Maple_Donovan ) ) )	-	-
M11-271059	MN0504	MN0606CN	( MN0504 , MN0606CN ( MN0901 , MN0902CN ) )	-	-
M11-271062	MN0504	MN0606CN	( MN0504 , MN0606CN ( MN0901 , MN0902CN ) )	-	-
M11-271064	MN0504	MN0606CN	( MN0504 , MN0606CN ( MN0901 , MN0902CN ) )	-	-
M11-276036	MN1701CN	SD04CV-611	( MN1701CN , SD04CV-611 )	-	-
M11-278003	MN0907	ND06-5248	( MN0907 , ND06-5248 ( ND00-547 ( Pioneer_P9092 , Korada ) , Walsh ) )	-	-
M11-279046	MN05-286085	SD05-240	( MN05-286085 ( Kato , Asgrow_A1929 ) , SD05-240 ( A00-711063 ( Pioneer_P9233 , A95-485020 ) , SD98-595 ( Kato , Asgrow_A1929 ) ) )	-	-
M11-280085	M05-328025	MN98-149-249-2-2	( M05-328025 , MN98-149-249-2-2 )	-	-
M11-291113	M04-219004	M05-182023	( M04-219004 ( MN0902CN , ND01-3533 ( IA1009 , ND95-952 ( ND88-800 ( Maple_Amber , Evans ) , Pioneer_P9061 ) ) ) , M05-182023 )	-	-
M11-291118	M04-219004	M05-182023	( M04-219004 ( MN0902CN , ND01-3533 ( IA1009 , ND95-952 ( ND88-800 ( Maple_Amber , Evans ) , Pioneer_P9061 ) ) ) , M05-182023 )	-	-
M11-305073	M02-356123	SD07CV-935	( M02-356123 , SD07CV-935 ( Pion_9233 , A02-381100-1539 ( IA2064 , XB27U01 ) ) )	-	-
M11-305084	M02-356123	SD07CV-935	( M02-356123 , SD07CV-935 ( Pion_9233 , A02-381100-1539 ( IA2064 , XB27U01 ) ) )	-	-
M11-314020	MN1505SP	MN0804SP	( MN1505SP , MN0804SP )	-	-
M11-314031	MN1505SP	MN0804SP	( MN1505SP , MN0804SP )	-	-
M11-314101	MN1505SP	MN0804SP	( MN1505SP , MN0804SP )	-	-
M11-314106	MN1505SP	MN0804SP	( MN1505SP , MN0804SP )	-	-
M11-337015	M97-357138	MN1606SP	( M97-357138 ( IA1006 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) , Surge ) , MN1606SP )	-	-
M11-358032	Kenfeng_16	ChC1-RIL-039	( Kenfeng_16 , ChC1-RIL-039 )	-	-
M11-377115	PI_561389_B	M05-175-1039	( PI_561389_B , M05-175-1039 )	-	-
M11-G021	HF04-0648	HS5W-362	( HF04-0648 , HS5W-362 )	-	-
M12-380023	Surge	M05-289080	( Surge , M05-289080 )	-	-
M12-380025	Surge	M05-289080	( Surge , M05-289080 )	-	-
M12-380100	Surge	M05-289080	( Surge , M05-289080 )	-	-
M12-416003	M06-297013	M02-383166	( M06-297013 , M02-383166 )	-	-
M12-420037	M07-2134866	M06-296023	( M07-2134866 , M06-296023 ( M99-278133 ( MN0301 , S-1990 ) , MN0091 ) )	-	-
M12-421024	M03-347004	M06-235039	( M03-347004 , M06-235039 )	-	-
M12-437045	M02-495076	M06-381077	( M02-495076 ( LG98-1605 , MN0302 ) , M06-381077 )	-	-
M12-439036	Sheyenne	PI639637	( Sheyenne , PI639637 )	-	-
M12-454061	ND07-2205	PI639637	( ND07-2205 ( LaMoure , ND01-1690 ( Pioneer_P9092 , ND95-958 ( ND88-800 ( Maple_Amber , Evans ) , Pioneer_P9061 ) ) ) , PI639637 )	-	-
M12-477082	M02-356043	M06-347036	( M02-356043 , M06-347036 )	-	-
M12R-801002	M00-530039	M04R-514129	( M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) , M04R-514129 )	-	-
M12R-801010	M00-530039	M04R-514129	( M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) , M04R-514129 )	-	-
M12R-801033	M00-530039	M04R-514129	( M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) , M04R-514129 )	-	-
M12R-801042	M00-530039	M04R-514129	( M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) , M04R-514129 )	-	-
M12R-801049	M00-530039	M04R-514129	( M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) , M04R-514129 )	-	-
M12R-801080	M00-530039	M04R-514129	( M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) , M04R-514129 )	-	-
M12R-801113	M00-530039	M04R-514129	( M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) , M04R-514129 )	-	-
M12R-803016	U07-135636R	M06R-613036	( U07-135636R , M06R-613036 ( M99-304146 , N33129R ) )	-	-
M12R-803017	U07-135636R	M06R-613036	( U07-135636R , M06R-613036 ( M99-304146 , N33129R ) )	-	-
M12R-806102	M06R-150044	M06-614016	( M06R-150044 ( MN1803RR , MN0401RR ( Surge , M96-136-20 ) ) , M06-614016 )	-	-
M12R-806113	M06R-150044	M06-614016	( M06R-150044 ( MN1803RR , MN0401RR ( Surge , M96-136-20 ) ) , M06-614016 )	-	-
M12R-810006	U07-135636R	M00-530039	( U07-135636R , M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) )	-	-
M12R-810093	U07-135636R	M00-530039	( U07-135636R , M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) )	-	-
M12R-810099	U07-135636R	M00-530039	( U07-135636R , M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) )	-	-
M12R-813019	U07-135601R	MN1606SP	( U07-135601R , MN1606SP )	-	-
M12R-813054	U07-135601R	MN1606SP	( U07-135601R , MN1606SP )	-	-
M12R-813072	U07-135601R	MN1606SP	( U07-135601R , MN1606SP )	-	-
M12R-814019	M00-530039	MN0091	( M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) , MN0091 )	-	-
M12R-814029	M00-530039	MN0091	( M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) , MN0091 )	-	-
M12R-814093	M00-530039	MN0091	( M00-530039 ( MN1803RR , M96-136086 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) ) , MN0091 )	-	-
M12R2-807089	M06R-621-7020	MN1410BC2F5R2152	( M06R-621-7020 ( SDX00R-017-52 , MN0206RR ) , MN1410BC2F5R2152 )	-	-
M13-104022	M07-260028	M05-353086	( M07-260028 ( NE1900 ( MSBP1 , MSBP1 ) , MN0107 ( MN0302 , Daksoy ) ) , M05-353086 ( MN0902CN , M99-286047 ( IA1008 , Pioneer_P9234 ) ) )	-	-
M13-106002	M03-172059	A09-754003	( M03-172059 ( IA2052 , MN0304 ) , A09-754003 ( IA3042 ( T-3211 , A15025B011 ) , A04-543043 ( Pioneer_P92B12 , A00-711042 ( Pioneer_P9321 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) ) ) )	-	-
