Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
SC96-2736	Hagood	SC84-931	( Hagood , SC84-931 )	-	-
SC97-2010	SC89-181	Pearl	( SC89-181 , Pearl ( G80-1515 ( Pickett_71 , Bedford ) , Vance ) )	-	-
SC97-259	Northrup_King_S83-30	Manokin	( Northrup_King_S83-30 , Manokin )	-	-
SC97-318	Unspecifed	Unspecifed	( Unspecifed , Unspecifed )	-	-
SC98-1063	SC89-147	G93-9223	( SC89-147 ( Hutcheson , LeFlore ) , G93-9223 )	-	-
SC98-1428	Hagood	D90-7256	( Hagood , D90-7256 ( Forrest , D76-8070 ) )	-	-
SC98-1850	F91-1419	Manokin	( F91-1419 ( PI_417479 , F87-4017 ) , Manokin )	-	-
SC98-1930	F92-1792	Manokin	( F92-1792 ( PI_417479 , F87-4017 ) , Manokin )	-	Long-juvenile trait
SC98-318	Hutcheson	SC89-551	( Hutcheson , SC89-551 ( Asgrow_A6785 ( Young , D74-7741 ( Forrest , D70-3001 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) ) ) , Coker_6738 ( Braxton , Coker_368 ( Corker_71-211 , Centennial ) ) ) )	-	-
SC98-353	SC89-181	Doles	( SC89-181 , Doles )	-	-
SC98-469	Hutcheson	Northrup_King_S75-55	( Hutcheson , Northrup_King_S75-55 )	-	-
SC98-679	Stonewall	Northrup_King_S75-55	( Stonewall , Northrup_King_S75-55 )	-	-
SC99-605	SC89-147	G89-2223	( SC89-147 ( Hutcheson , LeFlore ) , G89-2223 )	-	-
SC99-615	SC89-147	G89-2223	( SC89-147 ( Hutcheson , LeFlore ) , G89-2223 )	-	-
SC_2307	Pro30-05	OAC_Kent	( Pro30-05 , OAC_Kent )	-	-
SC_6218N	OAC_Prosper	S18-R6	( OAC_Prosper , S18-R6 ( 89694 , 62755 ) )	-	-
SD00-048R	SD94-808	SD93-1040RR	( SD94-808 ( Parker , Archer ) , SD93-1040RR ( Parker , Sibley ) )	-	-
SD00-1391	Surge	C1907	( Surge , C1907 ( A87-296011 ( Harper , A80-346029 ( A75-204018 ( IVR_4731 ( Amsoy , Wayne ) , Wirth ) , BSR_301 ) ) , CX1039-99 ) )	-	-
SD00-1501	Parker	C1907	( Parker , C1907 ( A87-296011 ( Harper , A80-346029 ( A75-204018 ( IVR_4731 ( Amsoy , Wayne ) , Wirth ) , BSR_301 ) ) , CX1039-99 ) )	-	-
SD00-167	M91-821	A94-572028	( M91-821 ( M83-766 ( Evans , M74-394 ( Hodgson , Wells ) ) , Leslie ( Hodgson_78 , Pella ) ) , A94-572028 ( Northrup_King_S19-90 , Bell ) )	-	-
SD00-805R	SD94-1370	SD93-1208RR	( SD94-1370 ( SD87-001 ( Fiskeby , IX93-100 ( A71-555-8-1 , L61-344 ) ) , Leslie ( Hodgson_78 , Pella ) ) , SD93-1208RR )	-	-
SD01-3382R	SD94-1662	SD1091RR	( SD94-1662 , SD1091RR )	-	-
SD03-2154	Surge	A96-492041	( Surge , A96-492041 ( Northrup_King_S24-92 , Northrup_King_S19-90 ) )	PI 667737,  Roberts	CV-510, F4
SD03-221	SDX98-75-11-2	SDX98-82-9-2	( SDX98-75-11-2 ( M93-141-16-3 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ( Elf , Williams_82 ) ) ) , SDX98-82-9-2 ( U97-2519 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) ) )	-	-
